选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数,触发 +10% 日期,触发 -2% 日期,触发 -4% 日期,达到 +10% 天数,触发顺序,是否曾跌破成本价,行业,行业热度_买入日,行业热度_10pct 日,行业热度_neg2pct 日,行业热度_neg4pct 日,行业热度_卖出日
2025-09-08,1,600864,哈投股份,94.3%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,7.44,8.03,+7.93%,+9.41%,第45天,2025-10-23,45,-,2025-09-18,2025-09-19,-,"('neg2pct', 'neg4pct')",是,电子,59.31,,67.69,42.39,42.13
2025-09-08,2,300561,*ST汇科,93.9%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,16.54,16.59,+0.30%,+9.61%,第9天,2025-10-23,45,-,2025-09-22,2025-09-23,-,"('neg2pct', 'neg4pct')",是,计算机,80.03,,83.25,80.17,78.9
2025-09-08,3,003010,若羽臣,93.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,42.186,41.41,-1.84%,+15.82%,第38天,2025-10-23,45,2025-10-16,2025-09-09,2025-09-09,第38天,"('neg2pct', 'neg4pct', '10pct')",是,零售,13.42,16.01,21.9,21.9,19.23
2025-09-08,4,600058,五矿发展,93.6%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,9.45,9.1,-3.70%,+6.35%,第4天,2025-10-23,45,-,2025-09-11,2025-09-18,-,"('neg2pct', 'neg4pct')",是,化工,27.09,,27.72,30.7,26.05
2025-09-08,5,000737,北方铜业,93.4%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,11.99,15.32,+27.77%,+57.46%,第32天,2025-10-23,45,2025-09-12,2025-09-10,-,第4天,"('neg2pct', '10pct')",是,建筑,23.11,28.04,19.65,,18.8
2025-09-09,1,002356,赫美集团,94.8%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,3.6,3.59,-0.28%,+11.39%,第13天,2025-10-24,45,2025-09-22,2025-09-18,2025-09-29,第13天,"('neg2pct', '10pct', 'neg4pct')",是,计算机,76.3,83.25,87.58,80.52,90.69
2025-09-09,2,603379,三美股份,94.6%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,56.22,56.14,-0.14%,+10.14%,第31天,2025-10-24,45,2025-10-10,2025-09-16,2025-09-23,第31天,"('neg2pct', 'neg4pct', '10pct')",是,化工,24.24,24.3,26.45,27.75,28.36
2025-09-09,3,000753,漳州发展,94.2%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,6.665,7.335,+10.05%,+22.36%,第35天,2025-10-24,45,2025-09-17,2025-09-11,-,第8天,"('neg2pct', '10pct')",是,化工,24.24,24.23,27.72,,28.36
2025-09-09,4,600222,太龙药业,94.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,6.627,6.537,-1.36%,+6.19%,第8天,2025-10-24,45,-,2025-09-11,2025-09-19,-,"('neg2pct', 'neg4pct')",是,医药,21.86,,33.93,18.92,27.16
2025-09-09,5,002241,歌尔股份,93.9%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,31.033,33.133,+6.77%,+30.61%,第30天,2025-10-24,45,2025-09-22,2025-09-11,-,第13天,"('neg2pct', '10pct')",是,电子,45.93,45.03,50.25,,63.83
